10	20
4.23941	4.80935	3.25553	5.44951	4.0488	4.12878	4.56259	4.12703	3.13093	5.02587	
0.265979	0.255745	0.366953	0.950656	0.835738	0.69056	0.147649	0.0124068	0.815877	0.993115	
9.97313	4.34148	9.3435	5.71636	3.10325	3.12989	2.36494	2.19292	4.34117	3.69144	2.28615	1.16627	2.83438	7.48624	5.91613	3.6532	6.17414	4.55212	3.02322	3.12502	
0.730736	0.700225	0.133868	0.307363	0.463711	0.0312774	0.726107	0.617435	0.351542	0.289163	0.797153	0.571224	0.487235	0.73022	0.875375	0.848666	0.186506	0.347298	0.11484	0.83418	
0.788466	0.851512	0.125152	0.282598	0.921699	0.814504	0.0594469	0.319765	0.809332	0.850499	0.507023	0.247564	0.795713	0.718362	0.179945	0.405833	0.756331	0.0390591	0.113212	0.612756	
0.016086	0.719261	0.504982	0.537756	0.445409	0.428386	0.749277	0.186606	0.0526013	0.0978375	0.351014	0.389464	0.258023	0.162163	0.080746	0.775902	0.059553	0.525798	0.753486	0.797861	
0.934324	0.829651	0.603698	0.282608	0.962424	0.881094	0.243617	0.738451	0.886291	0.487074	0.764158	0.871796	0.612954	0.117139	0.0553251	0.0347452	0.91009	0.0983092	0.584487	0.808693	
0.855921	0.504237	0.507163	0.239944	0.803564	0.648157	0.542889	0.142141	0.684059	0.870731	0.343588	0.61787	0.787462	0.0966911	0.276573	0.852666	0.173536	0.337285	0.409833	0.155829	
0.214045	0.328741	0.702748	0.283646	0.678691	0.883527	0.447504	0.262363	0.38101	0.239095	0.888631	0.469505	0.188261	0.503479	0.420195	0.876566	0.543079	0.680104	0.0221555	0.541964	
0.9161	0.529626	0.979074	0.663287	0.977521	0.940959	0.0715237	0.18836	0.538161	0.034021	0.775043	0.294104	0.195903	0.879589	0.949803	0.435512	0.99938	0.150126	0.514802	0.932199	
0.381604	0.838645	0.0174934	0.190632	0.810064	0.19425	0.655988	0.500951	0.944237	0.0677192	0.0859701	0.710202	0.678253	0.184955	0.0440179	0.687757	0.85866	0.796103	0.741647	0.421736	
0.798846	0.0168764	0.433441	0.00852195	0.709918	0.615617	0.0717694	0.452212	0.329741	0.532845	0.269374	0.0499455	0.391061	0.0485558	0.238968	0.820609	0.53738	0.651744	0.642258	0.0357586	
0.880703	0.0778616	0.793547	0.358135	0.960796	0.300242	0.319166	0.926573	0.596895	0.616752	0.486451	0.613682	0.420804	0.631052	0.591258	0.0223107	0.186834	0.822303	0.573945	0.829864	
